MW	Mylabris cichorii	37900	*	*
PATH	*	demethylmenaquinol-4 biosynthesis	*	*
PATH	*	demethylmenaquinol-6 biosynthesis I	*	*
PATH	*	demethylmenaquinol-8 biosynthesis I	*	*
PATH	*	demethylmenaquinol-9 biosynthesis	*	*
PATH	*	menaquinol-10 biosynthesis	*	*
PATH	*	menaquinol-11 biosynthesis	*	*
PATH	*	menaquinol-12 biosynthesis	*	*
PATH	*	menaquinol-13 biosynthesis	*	*
PATH	*	menaquinol-7 biosynthesis	*	*
PATH	*	vitamin K metabolism	*	*
PATH	*	Ubiquinone and other terpenoid-quinone biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
